Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
VZ,"Verizon Communications Inc",51.02,0.53,+1.05%,51.04,50.35,13021301,2022-07-15
WAB,"Wabtec Corp",83.17,2.6,+3.23%,83.25,81.13,920600,2022-07-15
WAT,"Waters Corp",334.01,5.46,+1.66%,336.385,326.32,418500,2022-07-15
WBA,"Walgreens Boots Alliance",38.03,1.17,+3.17%,38.05,37.04,7469600,2022-07-15
WBD,"Discovery Inc Series A",13.96,0.33,+2.42%,13.99,13.6,17057799,2022-07-15
WDC,"Western Digital Cp",47.41,1.4,+3.04%,47.49,45.72,2275400,2022-07-15
WEC,"Wisconsin Energy Corp",100.75,0.64,+0.64%,100.89,99.25,1174600,2022-07-15
WELL,"Welltower Inc",81.22,1.12,+1.40%,81.48,80.21,2078500,2022-07-15
WFC,"Wells Fargo & Company",41.13,2.39,+6.17%,41.81,39.23,40328301,2022-07-15
WHR,"Whirlpool Corp",159.38,0.12,+0.08%,162.13,157.32,797800,2022-07-15
WM,"Waste Management",152.01,0.94,+0.62%,152.73,150.84,1075400,2022-07-15
WMB,"Williams Companies",31.38,0.23,+0.74%,31.71,30.97,5499300,2022-07-15
WMT,"Walmart Inc",129.07,1.25,+0.98%,130.27,128.05,7061400,2022-07-15
WRB,"W.R. Berkley Corp",63.03,0.81,+1.30%,63.5,62.41,1241800,2022-07-15
WRK,"Westrock Company",39.39,0.45,+1.16%,39.92,38.84,906400,2022-07-15
WST,"West Pharmaceutical Services",300.44,6.07,+2.06%,301.84,293.43,302500,2022-07-15
WTW,"Willis Towers Watson Public Ltd CO",194.9,1.66,+0.86%,197.66,194.68,589600,2022-07-15
WY,"Weyerhaeuser Company",34.78,0.42,+1.22%,35.12,34.57,15032199,2022-07-15
WYNN,"Wynn Resorts Ltd",55.47,1.19,+2.19%,55.74,53.85,2112500,2022-07-15
XEL,"XCEL Energy Inc",69.96,0.65,+0.94%,70.04,68.76,2511400,2022-07-15
XOM,"Exxon Mobil Corp",84.54,1.4,+1.68%,84.88,82.9,17243701,2022-07-15
XRAY,"Dentsply Sirona Inc",34.91,0.71,+2.08%,35.27,34.36,1477700,2022-07-15
XYL,"Xylem Inc",77.28,1.83,+2.43%,77.65,76.08,731800,2022-07-15
YUM,"Yum! Brands",118.15,1.3,+1.11%,119.37,117.82,1301800,2022-07-15
ZBH,"Zimmer Biomet Holdings",103.51,1.86,+1.83%,104.16,102.57,883000,2022-07-15
ZBRA,"Zebra Technologies",297.72,6.92,+2.38%,298.52,291.01,292200,2022-07-15
ZION,"Zions Bancorp",50.63,2.09,+4.31%,50.77,48.95,1097200,2022-07-18
ZTS,"Zoetis Inc Cl A",174.54,3.75,+2.20%,175.21,173.17,2409300,2022-07-15
"Downloaded from Barchart.com as of 07-18-2022 06:13am CDT"
