Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
KMI,"Kinder Morgan",16.76,0.18,+1.09%,16.91,16.55,10042700,2022-07-15
KMX,"Carmax Inc",91.55,2.44,+2.74%,92.6,89.75,1070000,2022-07-15
KO,"Coca-Cola Company",62.5,0.32,+0.51%,62.97,62.07,21968398,2022-07-15
KR,"Kroger Company",47.75,0.25,+0.53%,48.07,47.53,3684700,2022-07-15
L,"Loews Corp",56.45,0.84,+1.51%,56.82,56.01,795900,2022-07-15
LDOS,"Leidos Holdings Inc",98.69,0.48,+0.49%,99.59,98.34,872700,2022-07-15
LEN,"Lennar Corp",78.09,0.55,+0.71%,79.42,76.48,1910200,2022-07-15
LH,"Laboratory Corp of America Holdings",244.51,4.14,+1.72%,245.21,240.28,579000,2022-07-15
LHX,"L3Harris Technologies Inc",223.84,1.93,+0.87%,225.85,221.68,1106100,2022-07-15
LIN,"Linde Plc",276.98,7.97,+2.96%,276.98,273.26,2370100,2022-07-15
LKQ,"LKQ Corp",49.95,0.2,+0.40%,50.64,49.36,1770300,2022-07-15
LLY,"Eli Lilly and Company",331.6,4.71,+1.44%,335.33,328.17,3340300,2022-07-15
LMT,"Lockheed Martin Corp",398.38,-1.93,-0.48%,403.71,397.81,1223200,2022-07-15
LNC,"Lincoln National Corp",47.06,1.45,+3.18%,47.37,45.77,1503000,2022-07-15
LNT,"Alliant Energy Corp",58.16,0.28,+0.48%,58.34,57.34,841000,2022-07-15
LOW,"Lowe's Companies",185,2.34,+1.28%,186.14,183.96,2901400,2022-07-15
LRCX,"Lam Research Corp",427.13,7.81,+1.86%,427.39,412.01,1337500,2022-07-15
LUMN,Centurylink,10.77,0.14,+1.32%,10.84,10.59,6768900,2022-07-15
LUV,"Southwest Airlines Company",39.58,1.12,+2.91%,39.72,38.37,5121500,2022-07-15
LVS,"Las Vegas Sands",34.53,0.28,+0.82%,35.26,33.8,7427000,2022-07-15
LW,"Lamb Weston Holdings Inc",73.6,-0.35,-0.47%,74.82,72.74,1046400,2022-07-15
LYB,"Lyondellbasell Industries NV",84.74,1.14,+1.36%,86.21,83.51,1364400,2022-07-15
LYV,"Live Nation Entertainment",84.48,2.53,+3.09%,85.06,82.34,846700,2022-07-15
MA,"Mastercard Inc",332.57,7.54,+2.32%,335.57,329.76,3387400,2022-07-15
MAA,"Mid-America Apartment Communities",167.49,2.2,+1.33%,168.88,165.8,488300,2022-07-15
MAR,"Marriot Int Cl A",143.35,2.57,+1.83%,144.44,141.65,2072300,2022-07-15
MAS,"Masco Corp",53.6,0.53,+1.00%,53.96,52.69,1641800,2022-07-15
MCD,"McDonald's Corp",255.01,2.41,+0.95%,256.39,253.45,2627200,2022-07-15
MCHP,"Microchip Technology",62.38,1.45,+2.38%,62.46,60.59,3924800,2022-07-15
MCK,"Mckesson Corp",330,3.51,+1.08%,330.86,327.55,763600,2022-07-15
MCO,"Moody's Corp",281.61,6.41,+2.33%,281.66,278.36,937400,2022-07-15
MDLZ,"Mondelez Intl Inc",60.74,-0.14,-0.23%,61.63,60.38,6310200,2022-07-15
MDT,"Medtronic Inc",89.12,1.61,+1.84%,89.29,88.07,5587900,2022-07-15
MET,"Metlife Inc",59.03,1.12,+1.93%,59.44,57.81,3918100,2022-07-15
META,"Meta Platforms Inc",164.7,6.65,+4.21%,164.98,159.82,23342799,2022-07-15
MGM,"MGM Resorts International",29.23,0.8,+2.81%,29.42,28.43,3601600,2022-07-15
MHK,"Mohawk Industries",124.61,0,0.00%,126.65,121.69,640200,2022-07-15
MKC,"Mccormick & Company",81.74,-0.69,-0.84%,82.92,81.48,1299900,2022-07-15
MKTX,"Marketaxess Holdings",266.57,6.27,+2.41%,267.39,260.22,256500,2022-07-15
MLM,"Martin Marietta Materials",314.96,2.74,+0.88%,317.22,311.35,306400,2022-07-15
MMC,"Marsh & Mclennan Companies",150.98,1.95,+1.31%,151.72,149.98,4594100,2022-07-15
MMM,"3M Company",130.13,1.82,+1.42%,130.34,128.25,2638600,2022-07-15
MNST,"Monster Beverage Cp",97.15,-0.6,-0.61%,98.95,96.28,6425200,2022-07-15
MO,"Altria Group",41.99,0.36,+0.86%,42.28,41.54,14308899,2022-07-15
MOH,"Molina Healthcare Inc",298.89,13.82,+4.85%,299.38,286.69,454200,2022-07-15
MOS,"Mosaic Company",45.02,1.35,+3.09%,45.28,43.79,4525900,2022-07-15
MPC,"Marathon Petroleum Corp",84.42,3.74,+4.64%,84.5,81.68,4706300,2022-07-15
MPWR,"Monolithic Power Sys",410.25,14.27,+3.60%,412.52,398.22,403700,2022-07-15
MRK,"Merck & Company",94.96,1.08,+1.15%,95.35,94.37,9731801,2022-07-15
MRNA,"Moderna Inc",166.91,6.99,+4.37%,167,155.93,4272900,2022-07-15
MRO,"Marathon Oil Corp",20.85,0.44,+2.16%,20.93,20.37,11746900,2022-07-15
MS,"Morgan Stanley",78.05,3.36,+4.50%,78.76,75.66,11663801,2022-07-15
MSCI,"MSCI Inc",418.87,8.76,+2.14%,422.56,415.18,584800,2022-07-15
MSFT,"Microsoft Corp",256.72,2.64,+1.04%,260.37,254.77,29774000,2022-07-15
MSI,"Motorola Solutions",215.02,5.25,+2.50%,215.09,211.37,502600,2022-07-15
MTB,"M&T Bank Corp",156.21,5.64,+3.75%,157.01,151.88,803200,2022-07-15
MTCH,"Match Group Inc",65.24,1.24,+1.94%,65.88,63.33,3362600,2022-07-15
MTD,"Mettler-Toledo International",1158.96,20.74,+1.82%,1168.11,1143.5601,94800,2022-07-15
MU,"Micron Technology",61.53,2.18,+3.67%,61.7,59.4,20317699,2022-07-15
NCLH,"Norwegian Cruise Ord",11.8,0.62,+5.55%,11.85,11.18,15987500,2022-07-15
NDAQ,"Nasdaq Inc",157.07,3.55,+2.31%,157.09,154.3,643000,2022-07-15
NDSN,"Nordson Corp",207.67,5,+2.47%,208.47,204.57,171400,2022-07-15
NEE,"Nextera Energy",78.71,-1.42,-1.77%,78.85,76.33,8780500,2022-07-15
NEM,"Newmont Mining Corp",54.73,-0.26,-0.47%,55.78,53.92,6697500,2022-07-15
NFLX,"Netflix Inc",189.11,14.33,+8.20%,189.22,174.56,16319101,2022-07-15
NI,"NiSource Inc",28.78,0.07,+0.24%,28.97,28.41,3497400,2022-07-15
NKE,"Nike Inc",104.7,1.48,+1.43%,105.61,103.93,7862000,2022-07-15
NLOK,"Nortonlifelock Inc",23.52,0.15,+0.64%,23.85,23.45,6225900,2022-07-15
NLSN,"Nielsen Holdings Plc",23.37,0.42,+1.83%,23.45,23,1958200,2022-07-15
NOC,"Northrop Grumman Corp",461.2,2.21,+0.48%,463.18,455.01,1451900,2022-07-15
NOW,"Servicenow Inc",435.62,14.65,+3.48%,440.76,427.59,2157500,2022-07-15
NRG,"NRG Energy",35.98,-0.28,-0.77%,36.71,35.69,4743800,2022-07-15
NSC,"Norfolk Southern Corp",227.89,6.19,+2.79%,230.3,225.45,3217800,2022-07-15
NTAP,"Netapp Inc",65.95,0.96,+1.48%,66.06,64.95,1330700,2022-07-15
NTRS,"Northern Trust Corp",99.28,4.76,+5.04%,100.03,95.48,1568300,2022-07-15
NUE,"Nucor Corp",110.32,1.95,+1.80%,110.45,107.61,1715600,2022-07-15
NVDA,"Nvidia Corp",157.62,3.9,+2.54%,157.82,154.45,38593500,2022-07-15
NVR,"NVR Inc",4363.43,1.9,+0.04%,4410.37,4313.76,17300,2022-07-15
NWL,"Newell Rubbermaid Inc",19,0.09,+0.48%,19.38,18.89,2312600,2022-07-15
NWS,"News Cp Cl B",16.02,0.51,+3.29%,16.03,15.61,381500,2022-07-15
NWSA,"News Cp Cl A",15.73,0.49,+3.22%,15.74,15.32,2103300,2022-07-15
NXPI,"Nxp Semiconductors",163.98,4.16,+2.60%,165.09,160.09,2681700,2022-07-15
O,"Realty Income Corp",70.31,1.86,+2.72%,70.42,68.84,3803600,2022-07-15
ODFL,"Old Dominion Freight Line Inc",255.31,4.41,+1.76%,258.82,252.88,728800,2022-07-15
OGN,"Organon & CO",31.97,0.12,+0.38%,32.22,31.44,1336600,2022-07-15
OKE,"Oneok Inc",55.7,0.85,+1.55%,56.11,54.97,1963500,2022-07-15
OMC,"Omnicom Group Inc",64.99,1.78,+2.82%,65.02,63.83,1232700,2022-07-15
ON,"On Semiconductor",56.07,2.02,+3.74%,56.11,53.58,7055100,2022-07-15
ORCL,"Oracle Corp",70.74,1.29,+1.86%,70.87,70,5134100,2022-07-15
ORLY,"O'Reilly Automotive",683.2,9.42,+1.40%,683.98,674.28,390100,2022-07-15
OTIS,"Otis Worldwide Corp",69.51,0.52,+0.75%,70.15,69.26,3010000,2022-07-15
OXY,"Occidental Petroleum Corp",58.71,1.48,+2.59%,58.78,57.1,18944500,2022-07-15
PARA,"Paramount Global Cl B",25,0.88,+3.65%,25.02,24.29,6640700,2022-07-15
PAYC,"Paycom Software Inc",301.83,11.09,+3.81%,302.45,292.27,323300,2022-07-15
PAYX,"Paychex Inc",115,1.86,+1.64%,115.24,114.06,1613300,2022-07-15
PCAR,"Paccar Inc",80.05,0.97,+1.23%,80.45,78.89,6313600,2022-07-15
PEAK,"Healthpeak Properties Inc",26.22,0.39,+1.51%,26.41,25.83,3004900,2022-07-15
PEG,"Public Service Enterprise Group Inc",60.55,0.21,+0.35%,60.88,59.71,3829300,2022-07-15
PENN,"Penn Natl Gaming Inc",31.4,2.25,+7.72%,31.54,29.43,3686000,2022-07-15
PEP,"Pepsico Inc",171.12,0.14,+0.08%,172.92,170.02,4659000,2022-07-15
PFE,"Pfizer Inc",51.75,0.36,+0.70%,51.91,50.43,19885699,2022-07-15
PFG,"Principal Financial Group Inc",62.69,1.56,+2.55%,62.85,61.07,1497000,2022-07-15
PG,"Procter & Gamble Company",145.07,-0.2,-0.14%,145.7,144.1,6264500,2022-07-15
PGR,"Progressive Corp",116.08,3.75,+3.34%,116.72,113.74,7515700,2022-07-15
PH,"Parker-Hannifin Corp",248.36,3.7,+1.51%,251.3,246.49,2553600,2022-07-15
PHM,Pultegroup,43.95,0.15,+0.34%,44.75,42.97,1775900,2022-07-15
PKG,"Packaging Corp of America",135.8,0.36,+0.27%,137.58,135.28,475900,2022-07-15
